number,title,created_at,closed_at
641,Running async code in provider,2016-10-10T08:18:42Z,2016-10-18T10:30:56Z
643,"No Content-Type set, when retrieving jpg or jpeg files from FileMiddleware ",2016-10-10T21:03:16Z,2016-10-27T22:33:25Z
644,update vapor university to Vapor 1.1,2016-10-12T08:19:53Z,2016-10-25T16:26:44Z
645,Fluent testing package,2016-10-12T19:25:56Z,2017-02-03T14:34:56Z
647,automatically disable leaf view cache in `--env=development`,2016-10-13T20:42:51Z,2016-11-01T15:39:25Z
648,Client file uploads,2016-10-14T04:25:50Z,2016-10-28T15:21:39Z
652,Controller destroy resource func ain't working,2016-10-17T00:26:58Z,2016-10-20T17:21:56Z
653,Add SwiftLint support,2016-10-17T09:09:21Z,2017-01-13T20:36:05Z
654,Integrate external Routing module,2016-10-17T16:00:49Z,2016-10-28T17:03:51Z
655,Localization: language header with relative quality factor is not handled,2016-10-17T21:38:24Z,2017-05-12T10:18:34Z
656,Xcode proj created with weird file names like Controllers/PostController.swift,2016-10-19T17:08:32Z,2016-10-20T15:12:11Z
658,Project cannot be opened because the project file cannot be parsed.,2016-10-20T16:21:12Z,2016-11-07T21:59:03Z
661,Question on build and serve,2016-10-23T16:10:59Z,2016-10-26T17:08:53Z
662,Crashing Swift compiler when using grouped method,2016-10-24T06:36:04Z,2017-01-13T20:34:11Z
665,Share prefix for route and resource not works,2016-10-25T21:55:57Z,2017-05-05T18:41:57Z
