number,created_at,closed_at
30727,2019-03-27T12:23:25Z,2019-03-28T10:34:28Z
30728,2019-03-27T13:02:49Z,2019-03-30T07:30:10Z
30732,2019-03-27T14:08:04Z,2019-03-27T15:18:54Z
30735,2019-03-27T16:15:47Z,2019-03-27T16:27:38Z
30738,2019-03-28T09:08:17Z,2019-08-06T06:57:30Z
30742,2019-03-28T10:56:18Z,2019-03-30T01:21:09Z
30743,2019-03-28T11:04:56Z,2019-04-11T13:55:02Z
30745,2019-03-28T11:48:19Z,2019-04-08T08:57:31Z
30746,2019-03-28T11:56:32Z,2019-03-28T14:05:57Z
30747,2019-03-28T12:35:38Z,2019-03-31T14:51:58Z
30748,2019-03-28T12:53:24Z,2019-03-30T07:26:10Z
30750,2019-03-28T15:06:50Z,2019-06-28T08:36:31Z
30751,2019-03-28T15:19:30Z,2019-03-30T16:17:48Z
30753,2019-03-28T15:26:19Z,2019-03-28T16:34:44Z
30762,2019-03-29T08:41:36Z,2019-03-30T15:54:58Z
30765,2019-03-29T14:12:28Z,2020-06-01T07:56:02Z
30769,2019-03-29T15:47:11Z,2019-04-10T15:10:46Z
30774,2019-03-29T20:15:12Z,2019-04-06T09:18:04Z
30775,2019-03-29T21:41:19Z,2019-03-30T11:03:38Z
30777,2019-03-29T22:34:19Z,2019-04-01T10:03:19Z
30782,2019-03-30T10:54:18Z,2019-04-06T11:30:51Z
30791,2019-03-31T08:47:56Z,2019-03-31T09:07:17Z
30804,2019-03-31T17:28:57Z,2019-04-07T21:27:51Z
30808,2019-04-01T03:56:46Z,2019-04-01T08:04:49Z
30809,2019-04-01T06:17:12Z,2019-04-11T14:47:03Z
30822,2019-04-01T15:53:54Z,2019-04-01T16:31:32Z
30828,2019-04-02T00:47:06Z,2019-04-04T14:13:58Z
30830,2019-04-02T09:06:22Z,2019-09-28T16:22:12Z
30832,2019-04-02T10:06:47Z,2019-04-02T20:40:41Z
30833,2019-04-02T10:30:02Z,2019-04-23T12:15:11Z
30834,2019-04-02T10:32:08Z,2019-04-02T14:06:35Z
30835,2019-04-02T11:03:38Z,2019-04-06T09:52:04Z
30840,2019-04-02T20:27:14Z,2019-04-04T14:10:45Z
30841,2019-04-03T00:39:33Z,2019-04-04T14:37:09Z
30845,2019-04-03T09:26:36Z,2019-04-06T15:50:49Z
30849,2019-04-03T12:36:49Z,2019-04-08T08:48:08Z
30850,2019-04-03T14:28:09Z,2019-08-05T15:50:53Z
30854,2019-04-03T16:06:01Z,2019-04-03T16:34:17Z
30855,2019-04-03T16:44:34Z,2019-04-04T11:12:13Z
30856,2019-04-03T18:57:13Z,2019-04-03T20:16:12Z
30859,2019-04-04T01:48:46Z,2019-04-11T14:46:43Z
30861,2019-04-04T09:10:32Z,2019-04-06T10:13:36Z
30863,2019-04-04T09:56:12Z,2019-04-17T15:36:53Z
30865,2019-04-04T13:27:44Z,2019-04-04T13:36:41Z
30866,2019-04-04T16:52:08Z,2019-04-04T17:01:19Z
30867,2019-04-04T23:39:46Z,2019-04-06T19:02:35Z
30868,2019-04-05T02:10:58Z,2019-04-05T06:13:05Z
30870,2019-04-05T10:16:33Z,2019-04-06T17:55:42Z
30871,2019-04-05T10:17:37Z,2019-04-06T19:23:02Z
30872,2019-04-05T11:53:57Z,2019-04-07T13:07:40Z
30874,2019-04-05T14:19:35Z,2019-04-08T14:09:47Z
30875,2019-04-05T15:28:13Z,2019-06-29T09:06:21Z
30885,2019-04-06T10:49:59Z,2019-04-06T16:37:03Z
30891,2019-04-06T12:43:38Z,2019-04-06T16:25:17Z
